,country,year,cases,sex,age
5784,AD,2005,0.0,m,15-24
11553,AD,2005,1.0,m,25-34
17322,AD,2005,1.0,m,35-44
23091,AD,2005,0.0,m,45-54
28860,AD,2005,0.0,m,55-64
34629,AD,2005,0.0,m,65
40398,AD,2005,0.0,m,unknown
46167,AD,2005,0.0,f,0-14
51936,AD,2005,1.0,f,15-24
57705,AD,2005,1.0,f,25-34
63474,AD,2005,1.0,f,35-44
69243,AD,2005,0.0,f,45-54
75012,AD,2005,0.0,f,55-64
80781,AD,2005,0.0,f,65
86550,AD,2005,0.0,f,unknown
16,AD,2006,0.0,m,0-14
5785,AD,2006,1.0,m,15-24
11554,AD,2006,1.0,m,25-34
17323,AD,2006,2.0,m,35-44
23092,AD,2006,0.0,m,45-54
28861,AD,2006,1.0,m,55-64
34630,AD,2006,1.0,m,65
40399,AD,2006,0.0,m,unknown
46168,AD,2006,0.0,f,0-14
51937,AD,2006,0.0,f,15-24
57706,AD,2006,1.0,f,25-34
63475,AD,2006,0.0,f,35-44
69244,AD,2006,1.0,f,45-54
75013,AD,2006,0.0,f,55-64
80782,AD,2006,0.0,f,65
86551,AD,2006,0.0,f,unknown
57707,AD,2007,1.0,f,25-34
69245,AD,2007,1.0,f,45-54
18,AD,2008,0.0,m,0-14
5787,AD,2008,0.0,m,15-24
11556,AD,2008,0.0,m,25-34
17325,AD,2008,0.0,m,35-44
23094,AD,2008,1.0,m,45-54
28863,AD,2008,0.0,m,55-64
34632,AD,2008,0.0,m,65
40401,AD,2008,0.0,m,unknown
46170,AD,2008,0.0,f,0-14
51939,AD,2008,0.0,f,15-24
57708,AD,2008,0.0,f,25-34
63477,AD,2008,1.0,f,35-44
69246,AD,2008,1.0,f,45-54
75015,AD,2008,0.0,f,55-64
80784,AD,2008,0.0,f,65
86553,AD,2008,0.0,f,unknown
35,AE,1999,4.0,m,0-14
5804,AE,1999,9.0,m,15-24
11573,AE,1999,3.0,m,25-34
17342,AE,1999,2.0,m,35-44
23111,AE,1999,4.0,m,45-54
28880,AE,1999,6.0,m,55-64
34649,AE,1999,5.0,m,65
46187,AE,1999,9.0,f,0-14
51956,AE,1999,11.0,f,15-24
57725,AE,1999,5.0,f,25-34
63494,AE,1999,3.0,f,35-44
69263,AE,1999,0.0,f,45-54
75032,AE,1999,3.0,f,55-64
80801,AE,1999,2.0,f,65
36,AE,2000,2.0,m,0-14
5805,AE,2000,4.0,m,15-24
11574,AE,2000,4.0,m,25-34
17343,AE,2000,6.0,m,35-44
23112,AE,2000,5.0,m,45-54
28881,AE,2000,12.0,m,55-64
34650,AE,2000,10.0,m,65
46188,AE,2000,3.0,f,0-14
51957,AE,2000,16.0,f,15-24
57726,AE,2000,1.0,f,25-34
63495,AE,2000,3.0,f,35-44
69264,AE,2000,0.0,f,45-54
75033,AE,2000,0.0,f,55-64
80802,AE,2000,4.0,f,65
38,AE,2002,1.0,m,0-14
5807,AE,2002,2.0,m,15-24
11576,AE,2002,0.0,m,25-34
17345,AE,2002,6.0,m,35-44
23114,AE,2002,6.0,m,45-54
28883,AE,2002,10.0,m,55-64
34652,AE,2002,0.0,m,65
46190,AE,2002,3.0,f,0-14
51959,AE,2002,3.0,f,15-24
57728,AE,2002,8.0,f,25-34
63497,AE,2002,3.0,f,35-44
69266,AE,2002,4.0,f,45-54
75035,AE,2002,10.0,f,55-64
80804,AE,2002,1.0,f,65
39,AE,2003,2.0,m,0-14
5808,AE,2003,10.0,m,15-24
11577,AE,2003,8.0,m,25-34
17346,AE,2003,12.0,m,35-44
23115,AE,2003,3.0,m,45-54
28884,AE,2003,2.0,m,55-64
34653,AE,2003,10.0,m,65
46191,AE,2003,4.0,f,0-14
51960,AE,2003,9.0,f,15-24
57729,AE,2003,5.0,f,25-34
63498,AE,2003,3.0,f,35-44
69267,AE,2003,3.0,f,45-54
75036,AE,2003,2.0,f,55-64
80805,AE,2003,4.0,f,65
40,AE,2004,1.0,m,0-14
5809,AE,2004,7.0,m,15-24
11578,AE,2004,6.0,m,25-34
17347,AE,2004,7.0,m,35-44
23116,AE,2004,3.0,m,45-54
28885,AE,2004,1.0,m,55-64
34654,AE,2004,7.0,m,65
46192,AE,2004,3.0,f,0-14
51961,AE,2004,6.0,f,15-24
57730,AE,2004,2.0,f,25-34
63499,AE,2004,7.0,f,35-44
69268,AE,2004,2.0,f,45-54
75037,AE,2004,2.0,f,55-64
80806,AE,2004,3.0,f,65
42,AE,2006,0.0,m,0-14
5811,AE,2006,5.0,m,15-24
11580,AE,2006,3.0,m,25-34
17349,AE,2006,7.0,m,35-44
23118,AE,2006,3.0,m,45-54
28887,AE,2006,1.0,m,55-64
34656,AE,2006,4.0,m,65
46194,AE,2006,2.0,f,0-14
51963,AE,2006,6.0,f,15-24
57732,AE,2006,4.0,f,25-34
63501,AE,2006,5.0,f,35-44
69270,AE,2006,3.0,f,45-54
75039,AE,2006,4.0,f,55-64
80808,AE,2006,5.0,f,65
43,AE,2007,2.0,m,0-14
5812,AE,2007,5.0,m,15-24
11581,AE,2007,6.0,m,25-34
17350,AE,2007,3.0,m,35-44
23119,AE,2007,4.0,m,45-54
28888,AE,2007,3.0,m,55-64
34657,AE,2007,10.0,m,65
46195,AE,2007,1.0,f,0-14
51964,AE,2007,8.0,f,15-24
57733,AE,2007,6.0,f,25-34
63502,AE,2007,3.0,f,35-44
69271,AE,2007,2.0,f,45-54
75040,AE,2007,0.0,f,55-64
80809,AE,2007,0.0,f,65
44,AE,2008,0.0,m,0-14
5813,AE,2008,6.0,m,15-24
11582,AE,2008,1.0,m,25-34
17351,AE,2008,7.0,m,35-44
23120,AE,2008,5.0,m,45-54
28889,AE,2008,3.0,m,55-64
34658,AE,2008,6.0,m,65
40427,AE,2008,0.0,m,unknown
46196,AE,2008,0.0,f,0-14
51965,AE,2008,10.0,f,15-24
57734,AE,2008,4.0,f,25-34
63503,AE,2008,1.0,f,35-44
69272,AE,2008,1.0,f,45-54
75041,AE,2008,3.0,f,55-64
80810,AE,2008,3.0,f,65
86579,AE,2008,0.0,f,unknown
57,AF,1997,0.0,m,0-14
5826,AF,1997,10.0,m,15-24
11595,AF,1997,6.0,m,25-34
17364,AF,1997,3.0,m,35-44
23133,AF,1997,5.0,m,45-54
28902,AF,1997,2.0,m,55-64
34671,AF,1997,0.0,m,65
46209,AF,1997,5.0,f,0-14
51978,AF,1997,38.0,f,15-24
57747,AF,1997,36.0,f,25-34
63516,AF,1997,14.0,f,35-44
69285,AF,1997,8.0,f,45-54
75054,AF,1997,0.0,f,55-64
80823,AF,1997,1.0,f,65
58,AF,1998,30.0,m,0-14
5827,AF,1998,129.0,m,15-24
11596,AF,1998,128.0,m,25-34
17365,AF,1998,90.0,m,35-44
23134,AF,1998,89.0,m,45-54
28903,AF,1998,64.0,m,55-64
34672,AF,1998,41.0,m,65
46210,AF,1998,45.0,f,0-14
51979,AF,1998,350.0,f,15-24
57748,AF,1998,419.0,f,25-34
63517,AF,1998,194.0,f,35-44
69286,AF,1998,118.0,f,45-54
75055,AF,1998,61.0,f,55-64
80824,AF,1998,20.0,f,65
59,AF,1999,8.0,m,0-14
5828,AF,1999,55.0,m,15-24
11597,AF,1999,55.0,m,25-34
17366,AF,1999,47.0,m,35-44
23135,AF,1999,34.0,m,45-54
28904,AF,1999,21.0,m,55-64
34673,AF,1999,8.0,m,65
46211,AF,1999,25.0,f,0-14
51980,AF,1999,139.0,f,15-24
57749,AF,1999,160.0,f,25-34
63518,AF,1999,110.0,f,35-44
69287,AF,1999,50.0,f,45-54
75056,AF,1999,25.0,f,55-64
80825,AF,1999,8.0,f,65
60,AF,2000,52.0,m,0-14
5829,AF,2000,228.0,m,15-24
11598,AF,2000,183.0,m,25-34
17367,AF,2000,149.0,m,35-44
23136,AF,2000,129.0,m,45-54
28905,AF,2000,94.0,m,55-64
34674,AF,2000,80.0,m,65
46212,AF,2000,93.0,f,0-14
51981,AF,2000,414.0,f,15-24
57750,AF,2000,565.0,f,25-34
63519,AF,2000,339.0,f,35-44
69288,AF,2000,205.0,f,45-54
75057,AF,2000,99.0,f,55-64
80826,AF,2000,36.0,f,65
61,AF,2001,129.0,m,0-14
5830,AF,2001,379.0,m,15-24
11599,AF,2001,349.0,m,25-34
17368,AF,2001,274.0,m,35-44
23137,AF,2001,204.0,m,45-54
28906,AF,2001,139.0,m,55-64
34675,AF,2001,103.0,m,65
46213,AF,2001,146.0,f,0-14
51982,AF,2001,799.0,f,15-24
57751,AF,2001,888.0,f,25-34
63520,AF,2001,586.0,f,35-44
69289,AF,2001,375.0,f,45-54
75058,AF,2001,179.0,f,55-64
80827,AF,2001,89.0,f,65
62,AF,2002,90.0,m,0-14
5831,AF,2002,476.0,m,15-24
11600,AF,2002,481.0,m,25-34
17369,AF,2002,368.0,m,35-44
23138,AF,2002,246.0,m,45-54
28907,AF,2002,241.0,m,55-64
34676,AF,2002,189.0,m,65
46214,AF,2002,192.0,f,0-14
51983,AF,2002,1119.0,f,15-24
57752,AF,2002,1251.0,f,25-34
63521,AF,2002,792.0,f,35-44
69290,AF,2002,526.0,f,45-54
75059,AF,2002,320.0,f,55-64
80828,AF,2002,218.0,f,65
63,AF,2003,127.0,m,0-14
5832,AF,2003,511.0,m,15-24
11601,AF,2003,436.0,m,25-34
17370,AF,2003,284.0,m,35-44
23139,AF,2003,256.0,m,45-54
28908,AF,2003,288.0,m,55-64
34677,AF,2003,203.0,m,65
46215,AF,2003,245.0,f,0-14
51984,AF,2003,1152.0,f,15-24
57753,AF,2003,1287.0,f,25-34
63522,AF,2003,814.0,f,35-44
69291,AF,2003,462.0,f,45-54
75060,AF,2003,305.0,f,55-64
80829,AF,2003,158.0,f,65
64,AF,2004,139.0,m,0-14
5833,AF,2004,537.0,m,15-24
11602,AF,2004,568.0,m,25-34
17371,AF,2004,360.0,m,35-44
23140,AF,2004,358.0,m,45-54
28909,AF,2004,386.0,m,55-64
34678,AF,2004,310.0,m,65
46216,AF,2004,256.0,f,0-14
51985,AF,2004,1360.0,f,15-24
57754,AF,2004,1561.0,f,25-34
63523,AF,2004,1096.0,f,35-44
69292,AF,2004,645.0,f,45-54
75061,AF,2004,413.0,f,55-64
80830,AF,2004,256.0,f,65
65,AF,2005,151.0,m,0-14
5834,AF,2005,606.0,m,15-24
11603,AF,2005,560.0,m,25-34
17372,AF,2005,472.0,m,35-44
23141,AF,2005,453.0,m,45-54
28910,AF,2005,470.0,m,55-64
34679,AF,2005,419.0,m,65
46217,AF,2005,320.0,f,0-14
51986,AF,2005,1651.0,f,15-24
57755,AF,2005,1959.0,f,25-34
63524,AF,2005,1302.0,f,35-44
69293,AF,2005,869.0,f,45-54
75062,AF,2005,471.0,f,55-64
80831,AF,2005,246.0,f,65
66,AF,2006,193.0,m,0-14
5835,AF,2006,837.0,m,15-24
11604,AF,2006,791.0,m,25-34
17373,AF,2006,574.0,m,35-44
23142,AF,2006,572.0,m,45-54
28911,AF,2006,572.0,m,55-64
34680,AF,2006,410.0,m,65
46218,AF,2006,442.0,f,0-14
51987,AF,2006,2139.0,f,15-24
57756,AF,2006,2340.0,f,25-34
63525,AF,2006,1654.0,f,35-44
69294,AF,2006,1006.0,f,45-54
75063,AF,2006,630.0,f,55-64
80832,AF,2006,309.0,f,65
67,AF,2007,186.0,m,0-14
5836,AF,2007,856.0,m,15-24
11605,AF,2007,840.0,m,25-34
17374,AF,2007,597.0,m,35-44
23143,AF,2007,566.0,m,45-54
28912,AF,2007,630.0,m,55-64
34681,AF,2007,507.0,m,65
46219,AF,2007,475.0,f,0-14
51988,AF,2007,2224.0,f,15-24
57757,AF,2007,2357.0,f,25-34
63526,AF,2007,1708.0,f,35-44
69295,AF,2007,1143.0,f,45-54
75064,AF,2007,771.0,f,55-64
80833,AF,2007,353.0,f,65
68,AF,2008,187.0,m,0-14
5837,AF,2008,941.0,m,15-24
11606,AF,2008,773.0,m,25-34
17375,AF,2008,545.0,m,35-44
23144,AF,2008,570.0,m,45-54
28913,AF,2008,630.0,m,55-64
34682,AF,2008,575.0,m,65
46220,AF,2008,428.0,f,0-14
51989,AF,2008,2094.0,f,15-24
57758,AF,2008,2449.0,f,25-34
63527,AF,2008,1614.0,f,35-44
69296,AF,2008,1149.0,f,45-54
75065,AF,2008,817.0,f,55-64
80834,AF,2008,364.0,f,65
83,AG,1996,0.0,m,0-14
5852,AG,1996,0.0,m,15-24
11621,AG,1996,0.0,m,25-34
17390,AG,1996,0.0,m,35-44
23159,AG,1996,1.0,m,45-54
28928,AG,1996,0.0,m,55-64
34697,AG,1996,0.0,m,65
46235,AG,1996,0.0,f,0-14
52004,AG,1996,0.0,f,15-24
57773,AG,1996,0.0,f,25-34
63542,AG,1996,1.0,f,35-44
69311,AG,1996,0.0,f,45-54
75080,AG,1996,0.0,f,55-64
80849,AG,1996,0.0,f,65
87,AG,2000,0.0,m,0-14
5856,AG,2000,0.0,m,15-24
11625,AG,2000,0.0,m,25-34
17394,AG,2000,0.0,m,35-44
23163,AG,2000,0.0,m,45-54
28932,AG,2000,0.0,m,55-64
34701,AG,2000,1.0,m,65
46239,AG,2000,1.0,f,0-14
52008,AG,2000,1.0,f,15-24
57777,AG,2000,1.0,f,25-34
63546,AG,2000,0.0,f,35-44
69315,AG,2000,0.0,f,45-54
75084,AG,2000,0.0,f,55-64
80853,AG,2000,0.0,f,65
46240,AG,2001,0.0,f,0-14
52009,AG,2001,1.0,f,15-24
57778,AG,2001,0.0,f,25-34
63547,AG,2001,0.0,f,35-44
69316,AG,2001,0.0,f,45-54
75085,AG,2001,0.0,f,55-64
80854,AG,2001,0.0,f,65
89,AG,2002,0.0,m,0-14
5858,AG,2002,0.0,m,15-24
11627,AG,2002,1.0,m,25-34
17396,AG,2002,0.0,m,35-44
23165,AG,2002,0.0,m,45-54
28934,AG,2002,0.0,m,55-64
34703,AG,2002,0.0,m,65
46241,AG,2002,2.0,f,0-14
52010,AG,2002,0.0,f,15-24
57779,AG,2002,1.0,f,25-34
63548,AG,2002,0.0,f,35-44
69317,AG,2002,0.0,f,45-54
75086,AG,2002,0.0,f,55-64
80855,AG,2002,0.0,f,65
90,AG,2003,0.0,m,0-14
5859,AG,2003,0.0,m,15-24
11628,AG,2003,1.0,m,25-34
17397,AG,2003,0.0,m,35-44
23166,AG,2003,0.0,m,45-54
28935,AG,2003,0.0,m,55-64
34704,AG,2003,0.0,m,65
46242,AG,2003,0.0,f,0-14
52011,AG,2003,0.0,f,15-24
57780,AG,2003,0.0,f,25-34
63549,AG,2003,0.0,f,35-44
69318,AG,2003,0.0,f,45-54
75087,AG,2003,0.0,f,55-64
80856,AG,2003,0.0,f,65
17399,AG,2005,1.0,m,35-44
23168,AG,2005,1.0,m,45-54
52013,AG,2005,2.0,f,15-24
57782,AG,2005,2.0,f,25-34
94,AG,2007,0.0,m,0-14
5863,AG,2007,0.0,m,15-24
11632,AG,2007,0.0,m,25-34
17401,AG,2007,0.0,m,35-44
23170,AG,2007,1.0,m,45-54
28939,AG,2007,1.0,m,55-64
34708,AG,2007,0.0,m,65
46246,AG,2007,0.0,f,0-14
52015,AG,2007,0.0,f,15-24
57784,AG,2007,0.0,f,25-34
63553,AG,2007,0.0,f,35-44
69322,AG,2007,0.0,f,45-54
75091,AG,2007,0.0,f,55-64
80860,AG,2007,0.0,f,65
23171,AG,2008,1.0,m,45-54
63572,AI,2003,1.0,f,35-44
114,AI,2004,0.0,m,0-14
5883,AI,2004,0.0,m,15-24
11652,AI,2004,0.0,m,25-34
17421,AI,2004,0.0,m,35-44
23190,AI,2004,0.0,m,45-54
28959,AI,2004,0.0,m,55-64
34728,AI,2004,0.0,m,65
46266,AI,2004,0.0,f,0-14
52035,AI,2004,0.0,f,15-24
57804,AI,2004,0.0,f,25-34
63573,AI,2004,0.0,f,35-44
69342,AI,2004,0.0,f,45-54
75111,AI,2004,0.0,f,55-64
80880,AI,2004,0.0,f,65
131,AL,1995,0.0,m,0-14
5900,AL,1995,0.0,m,15-24
11669,AL,1995,0.0,m,25-34
17438,AL,1995,0.0,m,35-44
23207,AL,1995,19.0,m,45-54
28976,AL,1995,40.0,m,55-64
34745,AL,1995,30.0,m,65
46283,AL,1995,0.0,f,0-14
52052,AL,1995,1.0,f,15-24
57821,AL,1995,0.0,f,25-34
63590,AL,1995,0.0,f,35-44
69359,AL,1995,13.0,f,45-54
75128,AL,1995,20.0,f,55-64
80897,AL,1995,16.0,f,65
133,AL,1997,0.0,m,0-14
5902,AL,1997,23.0,m,15-24
11671,AL,1997,43.0,m,25-34
17440,AL,1997,33.0,m,35-44
23209,AL,1997,25.0,m,45-54
28978,AL,1997,21.0,m,55-64
34747,AL,1997,19.0,m,65
46285,AL,1997,1.0,f,0-14
52054,AL,1997,16.0,f,15-24
57823,AL,1997,19.0,f,25-34
63592,AL,1997,14.0,f,35-44
69361,AL,1997,9.0,f,45-54
75130,AL,1997,10.0,f,55-64
80899,AL,1997,8.0,f,65
134,AL,1998,1.0,m,0-14
5903,AL,1998,17.0,m,15-24
11672,AL,1998,21.0,m,25-34
17441,AL,1998,24.0,m,35-44
23210,AL,1998,18.0,m,45-54
28979,AL,1998,26.0,m,55-64
34748,AL,1998,24.0,m,65
46286,AL,1998,2.0,f,0-14
52055,AL,1998,19.0,f,15-24
57824,AL,1998,11.0,f,25-34
63593,AL,1998,12.0,f,35-44
69362,AL,1998,13.0,f,45-54
75131,AL,1998,11.0,f,55-64
80900,AL,1998,13.0,f,65
135,AL,1999,0.0,m,0-14
5904,AL,1999,13.0,m,15-24
11673,AL,1999,23.0,m,25-34
17442,AL,1999,25.0,m,35-44
23211,AL,1999,19.0,m,45-54
28980,AL,1999,15.0,m,55-64
34749,AL,1999,15.0,m,65
46287,AL,1999,0.0,f,0-14
52056,AL,1999,5.0,f,15-24
57825,AL,1999,13.0,f,25-34
63594,AL,1999,11.0,f,35-44
69363,AL,1999,5.0,f,45-54
75132,AL,1999,8.0,f,55-64
80901,AL,1999,16.0,f,65
136,AL,2000,2.0,m,0-14
5905,AL,2000,19.0,m,15-24
11674,AL,2000,21.0,m,25-34
17443,AL,2000,14.0,m,35-44
23212,AL,2000,24.0,m,45-54
28981,AL,2000,19.0,m,55-64
34750,AL,2000,16.0,m,65
46288,AL,2000,3.0,f,0-14
52057,AL,2000,11.0,f,15-24
57826,AL,2000,10.0,f,25-34
63595,AL,2000,8.0,f,35-44
69364,AL,2000,8.0,f,45-54
75133,AL,2000,5.0,f,55-64
80902,AL,2000,11.0,f,65
137,AL,2001,3.0,m,0-14
5906,AL,2001,13.0,m,15-24
11675,AL,2001,18.0,m,25-34
17444,AL,2001,17.0,m,35-44
23213,AL,2001,19.0,m,45-54
28982,AL,2001,20.0,m,55-64
34751,AL,2001,30.0,m,65
46289,AL,2001,1.0,f,0-14
52058,AL,2001,12.0,f,15-24
57827,AL,2001,10.0,f,25-34
63596,AL,2001,5.0,f,35-44
69365,AL,2001,7.0,f,45-54
75134,AL,2001,7.0,f,55-64
80903,AL,2001,9.0,f,65
138,AL,2002,0.0,m,0-14
5907,AL,2002,21.0,m,15-24
11676,AL,2002,27.0,m,25-34
17445,AL,2002,29.0,m,35-44
23214,AL,2002,19.0,m,45-54
28983,AL,2002,23.0,m,55-64
34752,AL,2002,25.0,m,65
46290,AL,2002,2.0,f,0-14
52059,AL,2002,20.0,f,15-24
57828,AL,2002,19.0,f,25-34
63597,AL,2002,9.0,f,35-44
69366,AL,2002,6.0,f,45-54
75135,AL,2002,8.0,f,55-64
80904,AL,2002,17.0,f,65
139,AL,2003,0.0,m,0-14
5908,AL,2003,28.0,m,15-24
11677,AL,2003,19.0,m,25-34
17446,AL,2003,32.0,m,35-44
23215,AL,2003,16.0,m,45-54
28984,AL,2003,22.0,m,55-64
34753,AL,2003,19.0,m,65
46291,AL,2003,2.0,f,0-14
52060,AL,2003,13.0,f,15-24
57829,AL,2003,8.0,f,25-34
63598,AL,2003,6.0,f,35-44
69367,AL,2003,14.0,f,45-54
75136,AL,2003,12.0,f,55-64
80905,AL,2003,20.0,f,65
140,AL,2004,5.0,m,0-14
5909,AL,2004,12.0,m,15-24
11678,AL,2004,19.0,m,25-34
17447,AL,2004,21.0,m,35-44
23216,AL,2004,24.0,m,45-54
28985,AL,2004,23.0,m,55-64
34754,AL,2004,20.0,m,65
46292,AL,2004,2.0,f,0-14
52061,AL,2004,12.0,f,15-24
57830,AL,2004,12.0,f,25-34
63599,AL,2004,8.0,f,35-44
69368,AL,2004,11.0,f,45-54
75137,AL,2004,10.0,f,55-64
80906,AL,2004,22.0,f,65
141,AL,2005,0.0,m,0-14
5910,AL,2005,26.0,m,15-24
11679,AL,2005,21.0,m,25-34
17448,AL,2005,16.0,m,35-44
23217,AL,2005,31.0,m,45-54
28986,AL,2005,20.0,m,55-64
34755,AL,2005,37.0,m,65
40524,AL,2005,0.0,m,unknown
46293,AL,2005,0.0,f,0-14
52062,AL,2005,3.0,f,15-24
57831,AL,2005,9.0,f,25-34
63600,AL,2005,5.0,f,35-44
69369,AL,2005,5.0,f,45-54
75138,AL,2005,5.0,f,55-64
80907,AL,2005,18.0,f,65
86676,AL,2005,0.0,f,unknown
142,AL,2006,5.0,m,0-14
5911,AL,2006,24.0,m,15-24
11680,AL,2006,19.0,m,25-34
17449,AL,2006,22.0,m,35-44
23218,AL,2006,21.0,m,45-54
28987,AL,2006,19.0,m,55-64
34756,AL,2006,20.0,m,65
40525,AL,2006,0.0,m,unknown
46294,AL,2006,2.0,f,0-14
52063,AL,2006,12.0,f,15-24
57832,AL,2006,8.0,f,25-34
63601,AL,2006,7.0,f,35-44
69370,AL,2006,7.0,f,45-54
75139,AL,2006,7.0,f,55-64
80908,AL,2006,13.0,f,65
86677,AL,2006,0.0,f,unknown
143,AL,2007,0.0,m,0-14
5912,AL,2007,19.0,m,15-24
11681,AL,2007,13.0,m,25-34
17450,AL,2007,16.0,m,35-44
23219,AL,2007,24.0,m,45-54
28988,AL,2007,16.0,m,55-64
34757,AL,2007,19.0,m,65
40526,AL,2007,0.0,m,unknown
46295,AL,2007,2.0,f,0-14
52064,AL,2007,13.0,f,15-24
57833,AL,2007,9.0,f,25-34
63602,AL,2007,7.0,f,35-44
69371,AL,2007,7.0,f,45-54
75140,AL,2007,11.0,f,55-64
80909,AL,2007,9.0,f,65
86678,AL,2007,0.0,f,unknown
144,AL,2008,1.0,m,0-14
5913,AL,2008,23.0,m,15-24
11682,AL,2008,26.0,m,25-34
17451,AL,2008,13.0,m,35-44
23220,AL,2008,19.0,m,45-54
28989,AL,2008,13.0,m,55-64
34758,AL,2008,16.0,m,65
46296,AL,2008,1.0,f,0-14
52065,AL,2008,20.0,f,15-24
57834,AL,2008,10.0,f,25-34
63603,AL,2008,8.0,f,35-44
69372,AL,2008,5.0,f,45-54
75141,AL,2008,5.0,f,55-64
80910,AL,2008,10.0,f,65
160,AM,1995,1.0,m,0-14
5929,AM,1995,18.0,m,15-24
11698,AM,1995,16.0,m,25-34
17467,AM,1995,11.0,m,35-44
23236,AM,1995,10.0,m,45-54
29005,AM,1995,8.0,m,55-64
34774,AM,1995,1.0,m,65
46312,AM,1995,1.0,f,0-14
52081,AM,1995,1.0,f,15-24
57850,AM,1995,7.0,f,25-34
63619,AM,1995,2.0,f,35-44
69388,AM,1995,1.0,f,45-54
75157,AM,1995,1.0,f,55-64
161,AM,1996,2.0,m,0-14
5930,AM,1996,53.0,m,15-24
11699,AM,1996,100.0,m,25-34
17468,AM,1996,51.0,m,35-44
23237,AM,1996,43.0,m,45-54
29006,AM,1996,30.0,m,55-64
34775,AM,1996,7.0,m,65
46313,AM,1996,0.0,f,0-14
52082,AM,1996,9.0,f,15-24
57851,AM,1996,11.0,f,25-34
63620,AM,1996,9.0,f,35-44
69389,AM,1996,8.0,f,45-54
75158,AM,1996,4.0,f,55-64
80927,AM,1996,0.0,f,65
162,AM,1997,2.0,m,0-14
5931,AM,1997,85.0,m,15-24
